,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Colour,Seats,No. of Doors,Price,Mileage_value,Mileage_unit,Engine_value,Engine_unit,Power_value,Power_unit,Company_Name,Model_Name
0,Mahindra Scorpio,Pune,2012.0,99000.0,Diesel,Manual,Third,Black/Silver,8.0,5.0,6.0,12.05,kmpl,2179.0,CC,120.0,bhp,Mahindra,Scorpio
1,Maruti Baleno,Kochi,2018.0,18678.0,Petrol,Manual,First,Others,5.0,4.0,8.32,21.1,kmpl,998.0,CC,100.0,bhp,Maruti,Baleno
2,Mahindra Xylo,Bangalore,2013.0,197000.0,Diesel,Manual,First,White,7.0,5.0,4.0,11.68,kmpl,2498.0,CC,112.0,bhp,Mahindra,Xylo
3,Hyundai Grand,Delhi,2014.0,45000.0,Diesel,Manual,First,White,5.0,4.0,3.49,24.0,kmpl,1120.0,CC,70.0,bhp,Hyundai,Grand
4,Toyota Innova,Delhi,2011.0,65000.0,Diesel,Manual,First,Others,8.0,5.0,6.4,12.8,kmpl,2494.0,CC,102.0,bhp,Toyota,Innova
5,Honda WRV,Kochi,2018.0,15135.0,Petrol,Manual,First,White,5.0,4.0,9.29,17.5,kmpl,1199.0,CC,88.7,bhp,Honda,WRV
6,Hyundai Verna,Bangalore,2016.0,79000.0,Diesel,Manual,First,White,5.0,4.0,7.25,24.8,kmpl,1396.0,CC,88.7,bhp,Hyundai,Verna
7,Toyota Fortuner,Pune,2015.0,36000.0,Diesel,Automatic,First,White,7.0,5.0,22.0,12.55,kmpl,2982.0,CC,168.5,bhp,Toyota,Fortuner
8,Toyota Innova,Hyderabad,2009.0,156056.0,Diesel,Manual,First,Others,8.0,5.0,8.5,12.8,kmpl,2494.0,CC,102.0,bhp,Toyota,Innova
9,Chevrolet Beat,Hyderabad,2012.0,61250.0,Diesel,Manual,First,Others,5.0,4.0,2.7,25.44,kmpl,936.0,CC,57.6,bhp,Chevrolet,Beat
10,Toyota Innova,Hyderabad,2007.0,199000.0,Diesel,Manual,Second,Others,7.0,4.0,5.2,12.8,kmpl,2494.0,CC,102.0,bhp,Toyota,Innova
11,Audi A6,Ahmedabad,2008.0,41000.0,Petrol,Automatic,Second,White,5.0,4.0,10.5,10.4,kmpl,2773.0,CC,201.0,bhp,Audi,A6
12,Hyundai i20,Delhi,2017.0,17431.0,Petrol,Manual,First,Black/Silver,5.0,4.0,6.0,18.6,kmpl,1197.0,CC,81.83,bhp,Hyundai,i20
13,Skoda Laura,Mumbai,2009.0,48000.0,Diesel,Automatic,Second,White,5.0,4.0,2.95,17.0,kmpl,1896.0,CC,105.0,bhp,Skoda,Laura
14,Honda City,Mumbai,2015.0,10400.0,Petrol,Manual,First,Black/Silver,5.0,4.0,6.51,17.4,kmpl,1497.0,CC,117.3,bhp,Honda,City
15,Maruti Baleno,Delhi,2017.0,33000.0,Diesel,Manual,First,Black/Silver,5.0,4.0,6.96,27.39,kmpl,1248.0,CC,74.0,bhp,Maruti,Baleno
16,Audi Q7,Pune,2009.0,94000.0,Diesel,Automatic,Second,White,7.0,5.0,12.0,12.07,kmpl,2967.0,CC,241.4,bhp,Audi,Q7
17,Renault Duster,Bangalore,2014.0,70000.0,Diesel,Manual,First,Black/Silver,5.0,4.0,8.25,19.01,kmpl,1461.0,CC,108.45,bhp,Renault,Duster
18,Maruti Ertiga,Chennai,2012.0,40000.0,Diesel,Manual,First,Others,7.0,5.0,7.0,20.77,kmpl,1248.0,CC,88.8,bhp,Maruti,Ertiga
19,Land Rover Freelander,Hyderabad,2012.0,139000.0,Diesel,Automatic,First,Black/Silver,5.0,4.0,16.75,0.0,kmpl,2179.0,CC,115.0,bhp,Land rover, Freelander
20,Skoda Rapid,Mumbai,2014.0,35000.0,Petrol,Manual,First,Black/Silver,5.0,4.0,4.5,15.0,kmpl,1598.0,CC,103.52,bhp,Skoda,Rapid
21,Maruti Zen,Pune,2007.0,42000.0,Petrol,Manual,Third,Others,5.0,4.0,1.3,18.2,kmpl,998.0,CC,67.1,bhp,Maruti,Zen
22,BMW 3,Mumbai,2014.0,48000.0,Diesel,Automatic,First,Others,5.0,4.0,26.5,21.76,kmpl,1995.0,CC,190.0,bhp,BMW,3
23,Hyundai i20,Bangalore,2015.0,59000.0,Petrol,Manual,First,Black/Silver,5.0,4.0,5.75,18.5,kmpl,1197.0,CC,80.0,bhp,Hyundai,i20
24,Maruti Wagon,Chennai,2013.0,79000.0,Petrol,Manual,First,White,5.0,4.0,3.0,18.9,kmpl,998.0,CC,67.1,bhp,Maruti,Wagon
25,Honda Jazz,Kolkata,2010.0,45000.0,Petrol,Manual,First,White,5.0,4.0,2.0,16.0,kmpl,1198.0,CC,90.0,bhp,Honda,Jazz
26,Maruti Wagon,Ahmedabad,2008.0,60123.0,Petrol,Manual,Second,Others,5.0,4.0,1.95,18.9,kmpl,998.0,CC,67.1,bhp,Maruti,Wagon
27,Maruti Vitara,Coimbatore,2018.0,64456.0,Diesel,Manual,First,White,5.0,4.0,10.46,24.3,kmpl,1248.0,CC,88.5,bhp,Maruti,Vitara
28,ISUZU D-MAX,Jaipur,2017.0,25000.0,Diesel,Manual,First,Others,5.0,4.0,8.0,12.4,kmpl,2499.0,CC,134.0,bhp,ISUZU,D-MAX
29,Maruti SX4,Delhi,2011.0,75000.0,Diesel,Manual,First,Black/Silver,5.0,4.0,2.5,21.5,kmpl,1248.0,CC,88.8,bhp,Maruti,SX4
30,Hyundai i10,Coimbatore,2014.0,31446.0,Petrol,Manual,First,Others,5.0,4.0,4.66,20.36,kmpl,1197.0,CC,78.9,bhp,Hyundai,i10
31,Honda Amaze,Hyderabad,2014.0,97236.0,Diesel,Manual,First,White,5.0,4.0,4.4,25.8,kmpl,1498.0,CC,98.6,bhp,Honda,Amaze
32,Maruti Wagon,Kochi,2011.0,15466.0,Petrol,Manual,First,White,5.0,4.0,3.36,22.5,kmpl,998.0,CC,67.04,bhp,Maruti,Wagon
33,Hyundai Xcent,Pune,2016.0,51000.0,Diesel,Manual,First,White,5.0,4.0,5.25,24.4,kmpl,1120.0,CC,71.0,bhp,Hyundai,Xcent
34,Jaguar F,Hyderabad,2015.0,8000.0,Petrol,Automatic,First,Others,2.0,2.0,100.0,12.5,kmpl,5000.0,CC,488.1,bhp,Jaguar,F
35,BMW 3,Chennai,2009.0,137000.0,Diesel,Automatic,Second,Others,5.0,4.0,9.0,13.2,kmpl,1995.0,CC,170.0,bhp,BMW,3
36,Mercedes-Benz C-Class,Mumbai,2018.0,8682.0,Diesel,Automatic,First,White,5.0,4.0,39.5,0.0,kmpl,1950.0,CC,194.0,bhp,Mercedes-Benz,C-Class
37,Volkswagen Polo,Kolkata,2012.0,55339.0,Diesel,Manual,First,White,5.0,4.0,2.65,22.07,kmpl,1199.0,CC,73.9,bhp,Volkswagen,Polo
38,Renault Duster,Delhi,2016.0,26000.0,Diesel,Manual,First,White,5.0,4.0,10.0,19.64,kmpl,1461.0,CC,108.45,bhp,Renault,Duster
39,BMW 5,Mumbai,2013.0,78000.0,Diesel,Automatic,First,Others,5.0,4.0,19.5,18.48,kmpl,1995.0,CC,177.0,bhp,BMW,5
40,Mahindra Thar,Coimbatore,2019.0,16392.0,Diesel,Manual,First,White,6.0,5.0,10.36,16.55,kmpl,2498.0,CC,105.0,bhp,Mahindra,Thar
41,BMW 3,Chennai,2010.0,83000.0,Diesel,Automatic,First,Others,5.0,4.0,12.75,16.07,kmpl,1995.0,CC,181.0,bhp,BMW,3
42,Maruti Alto,Hyderabad,2013.0,54000.0,Petrol,Manual,Second,Others,5.0,4.0,2.75,20.92,kmpl,998.0,CC,98.59,bhp,Maruti,Alto
43,Hyundai i20,Kolkata,2016.0,19008.0,Petrol,Manual,First,Others,5.0,4.0,5.25,17.0,kmpl,1197.0,CC,80.0,bhp,Hyundai,i20
44,Hyundai i10,Kolkata,2015.0,18000.0,Petrol,Manual,First,White,5.0,4.0,2.85,20.36,kmpl,1197.0,CC,78.9,bhp,Hyundai,i10
45,Honda Amaze,Delhi,2015.0,48000.0,Diesel,Manual,First,Others,5.0,4.0,4.5,25.8,kmpl,1498.0,CC,98.6,bhp,Honda,Amaze
46,Audi A3,Mumbai,2016.0,39000.0,Diesel,Automatic,First,Others,5.0,4.0,18.9,20.38,kmpl,1968.0,CC,143.0,bhp,Audi,A3
47,Tata Xenon,Pune,2014.0,85000.0,Diesel,Manual,First,White,5.0,4.0,3.5,13.49,kmpl,2179.0,CC,138.03,bhp,Tata,Xenon
48,Toyota Innova,Coimbatore,2019.0,31271.0,Diesel,Manual,First,White,8.0,5.0,21.42,13.68,kmpl,2393.0,CC,147.8,bhp,Toyota,Innova
49,BMW X1,Pune,2011.0,102000.0,Diesel,Automatic,First,Others,5.0,4.0,13.75,15.06,kmpl,1995.0,CC,177.0,bhp,BMW,X1
50,Hyundai Getz,Hyderabad,2006.0,63181.0,Petrol,Manual,First,Black/Silver,5.0,4.0,1.85,15.3,kmpl,1341.0,CC,83.0,bhp,Hyundai,Getz
51,Audi Q7,Bangalore,2014.0,45000.0,Diesel,Automatic,Second,White,7.0,5.0,37.9,12.07,kmpl,2967.0,CC,241.4,bhp,Audi,Q7
52,Volkswagen Vento,Jaipur,2013.0,144000.0,Diesel,Manual,First,Black/Silver,5.0,4.0,7.0,20.54,kmpl,1598.0,CC,103.6,bhp,Volkswagen,Vento
53,BMW 3,Mumbai,2010.0,67000.0,Diesel,Automatic,Second,White,5.0,4.0,9.25,22.69,kmpl,1995.0,CC,190.0,bhp,BMW,3
54,Volkswagen Vento,Jaipur,2013.0,125000.0,Diesel,Manual,Second,Others,5.0,4.0,6.25,20.54,kmpl,1598.0,CC,103.6,bhp,Volkswagen,Vento
55,Chevrolet Sail,Kolkata,2014.0,9500.0,Petrol,Manual,First,Black/Silver,5.0,4.0,3.5,18.2,kmpl,1199.0,CC,82.5,bhp,Chevrolet,Sail
56,Renault Duster,Bangalore,2014.0,52000.0,Petrol,Manual,First,White,5.0,4.0,5.99,13.24,kmpl,1598.0,CC,102.57,bhp,Renault,Duster
57,Maruti Ertiga,Kolkata,2013.0,53073.0,Diesel,Manual,First,Black/Silver,7.0,5.0,5.95,20.77,kmpl,1248.0,CC,88.76,bhp,Maruti,Ertiga
58,Maruti Alto,Ahmedabad,2009.0,35000.0,Petrol,Manual,First,White,5.0,4.0,1.5,19.7,kmpl,796.0,CC,46.3,bhp,Maruti,Alto
59,Hyundai Grand,Coimbatore,2016.0,29091.0,Petrol,Manual,First,Others,5.0,4.0,4.87,18.9,kmpl,1197.0,CC,81.86,bhp,Hyundai,Grand
60,Renault Duster,Kochi,2015.0,82603.0,Petrol,Manual,First,Others,5.0,4.0,4.9,13.06,kmpl,1598.0,CC,102.53,bhp,Renault,Duster
61,Volkswagen Jetta,Coimbatore,2016.0,44340.0,Diesel,Automatic,First,Black/Silver,5.0,4.0,13.83,16.96,kmpl,1968.0,CC,138.03,bhp,Volkswagen,Jetta
62,Maruti Alto,Bangalore,2011.0,64357.0,Petrol,Manual,First,Others,5.0,4.0,2.75,24.07,kmpl,998.0,CC,67.1,bhp,Maruti,Alto
63,Honda Jazz,Kolkata,2015.0,45000.0,Petrol,Manual,First,White,5.0,4.0,4.75,18.7,kmpl,1199.0,CC,88.7,bhp,Honda,Jazz
64,Maruti Ciaz,Coimbatore,2016.0,41810.0,Petrol,Manual,First,Black/Silver,5.0,4.0,7.11,20.73,kmpl,1373.0,CC,91.1,bhp,Maruti,Ciaz
65,Hyundai i10,Ahmedabad,2014.0,47003.0,Petrol,Manual,First,Black/Silver,5.0,4.0,3.67,20.36,kmpl,1197.0,CC,78.9,bhp,Hyundai,i10
66,Audi A6,Coimbatore,2009.0,48040.0,Diesel,Automatic,Second,Black/Silver,5.0,4.0,12.07,16.77,kmpl,2967.0,CC,241.38,bhp,Audi,A6
67,Honda Jazz,Kochi,2017.0,24700.0,Petrol,Manual,First,Black/Silver,5.0,4.0,7.07,18.7,kmpl,1199.0,CC,88.7,bhp,Honda,Jazz
68,Volkswagen Polo,Hyderabad,2012.0,63000.0,Diesel,Manual,First,Others,5.0,4.0,4.2,22.07,kmpl,1199.0,CC,73.9,bhp,Volkswagen,Polo
69,Honda CR-V,Pune,2015.0,63050.0,Petrol,Automatic,First,White,5.0,4.0,17.5,11.1,kmpl,2354.0,CC,158.8,bhp,Honda,CR-V
70,Mahindra XUV500,Kolkata,2013.0,87284.0,Diesel,Manual,First,White,7.0,5.0,7.8,15.1,kmpl,2179.0,CC,140.0,bhp,Mahindra,XUV500
71,Mercedes-Benz New,Hyderabad,2012.0,86000.0,Diesel,Automatic,First,White,5.0,4.0,19.0,14.84,kmpl,2143.0,CC,170.0,bhp,Mercedes-Benz,New
72,BMW 3,Kochi,2017.0,55389.0,Diesel,Automatic,First,Others,5.0,4.0,28.45,18.88,kmpl,1995.0,CC,184.0,bhp,BMW,3
73,Honda Civic,Mumbai,2008.0,87000.0,Petrol,Manual,First,White,5.0,4.0,2.35,13.5,kmpl,1799.0,CC,130.0,bhp,Honda,Civic
74,BMW X1,Hyderabad,2014.0,45000.0,Diesel,Automatic,First,Black/Silver,5.0,4.0,21.5,17.05,kmpl,1995.0,CC,184.0,bhp,BMW,X1
75,Hyundai Verna,Coimbatore,2013.0,66930.0,Petrol,Manual,First,Others,5.0,4.0,6.15,17.1,kmpl,1591.0,CC,121.3,bhp,Hyundai,Verna
76,Hyundai i10,Pune,2009.0,62500.0,Petrol,Manual,First,White,5.0,4.0,2.1,20.36,kmpl,1197.0,CC,78.9,bhp,Hyundai,i10
77,Honda Jazz,Hyderabad,2015.0,67000.0,Diesel,Manual,First,Others,5.0,4.0,6.9,27.3,kmpl,1498.0,CC,98.6,bhp,Honda,Jazz
78,Honda City,Coimbatore,2012.0,66245.0,Petrol,Manual,First,Black/Silver,5.0,4.0,5.68,17.0,kmpl,1497.0,CC,118.0,bhp,Honda,City
79,Honda City,Mumbai,2010.0,69000.0,Petrol,Automatic,Second,White,5.0,4.0,2.85,16.8,kmpl,1497.0,CC,118.0,bhp,Honda,City
80,Skoda Superb,Kochi,2016.0,61648.0,Petrol,Automatic,First,Others,5.0,4.0,14.23,13.7,kmpl,1798.0,CC,157.75,bhp,Skoda,Superb
81,Maruti Ritz,Coimbatore,2011.0,90207.0,Diesel,Manual,First,White,5.0,4.0,3.91,21.1,kmpl,1248.0,CC,73.9,bhp,Maruti,Ritz
82,Mitsubishi Pajero,Mumbai,2004.0,129000.0,Diesel,Manual,First,White,6.0,5.0,3.45,10.5,kmpl,2835.0,CC,107.2,bhp,Mitsubishi,Pajero
83,Toyota Corolla,Kolkata,2014.0,27000.0,Petrol,Manual,First,White,5.0,4.0,7.95,14.28,kmpl,1798.0,CC,138.03,bhp,Toyota,Corolla
84,Hyundai Elantra,Pune,2013.0,48823.0,Diesel,Automatic,First,Black/Silver,5.0,4.0,8.5,19.5,kmpl,1582.0,CC,126.24,bhp,Hyundai,Elantra
85,Audi Q7,Hyderabad,2011.0,98000.0,Diesel,Automatic,First,Others,7.0,5.0,22.0,12.07,kmpl,2967.0,CC,241.4,bhp,Audi,Q7
86,Ford Figo,Bangalore,2010.0,78400.0,Petrol,Manual,Second,Others,5.0,4.0,2.75,15.6,kmpl,1196.0,CC,70.0,bhp,Ford,Figo
87,Ford Figo,Hyderabad,2016.0,72566.0,Diesel,Manual,First,White,5.0,4.0,5.29,25.83,kmpl,1498.0,CC,99.0,bhp,Ford,Figo
88,Honda City,Delhi,2011.0,68000.0,Petrol,Manual,First,Black/Silver,5.0,4.0,3.6,17.0,kmpl,1497.0,CC,118.0,bhp,Honda,City
89,Hyundai EON,Pune,2015.0,55000.0,Petrol,Manual,First,Others,5.0,4.0,2.61,22.0,kmpl,814.0,CC,55.0,bhp,Hyundai,EON
90,Maruti Ertiga,Pune,2016.0,63000.0,Diesel,Manual,First,White,7.0,5.0,8.15,24.52,kmpl,1248.0,CC,88.5,bhp,Maruti,Ertiga
91,Nissan Teana,Mumbai,2015.0,74000.0,Petrol,Automatic,Second,Others,5.0,4.0,8.25,11.07,kmpl,2496.0,CC,179.5,bhp,Nissan,Teana
92,Honda Amaze,Jaipur,2018.0,6000.0,Petrol,Manual,First,White,5.0,4.0,6.7,19.5,kmpl,1199.0,CC,86.76,bhp,Honda,Amaze
93,Maruti SX4,Pune,2008.0,85000.0,Petrol,Manual,First,Black/Silver,5.0,4.0,2.5,16.51,kmpl,1586.0,CC,103.2,bhp,Maruti,SX4
94,Volkswagen Jetta,Kolkata,2012.0,67000.0,Diesel,Manual,First,White,5.0,4.0,5.0,19.33,kmpl,1968.0,CC,138.1,bhp,Volkswagen,Jetta
95,Maruti Swift,Jaipur,2016.0,41460.0,Diesel,Manual,First,White,5.0,4.0,5.9,25.2,kmpl,1248.0,CC,74.0,bhp,Maruti,Swift
96,Mercedes-Benz CLA,Coimbatore,2017.0,13689.0,Diesel,Automatic,First,Others,5.0,4.0,28.25,17.9,kmpl,2143.0,CC,136.0,bhp,Mercedes-Benz,CLA
97,Land Rover Range,Delhi,2015.0,37000.0,Diesel,Automatic,First,White,5.0,4.0,36.0,12.7,kmpl,2179.0,CC,187.7,bhp,Land rover, Range rover
98,Volkswagen Polo,Kolkata,2012.0,45000.0,Diesel,Manual,First,White,5.0,4.0,2.99,22.07,kmpl,1199.0,CC,73.9,bhp,Volkswagen,Polo
99,Audi Q3,Coimbatore,2016.0,58661.0,Diesel,Automatic,First,Others,5.0,4.0,28.03,15.17,kmpl,1968.0,CC,181.0,bhp,Audi,Q3
100,Ford Fiesta,Bangalore,2011.0,47000.0,Diesel,Manual,Second,Black/Silver,5.0,4.0,6.0,23.5,kmpl,1498.0,CC,90.0,bhp,Ford,Fiesta
