Date, Open, High, Low, Close
03/07/24, 38784.30, 38910.35, 38730.13, 38791.35
03/06/24, 38721.15, 38858.13, 38570.80, 38661.05
03/05/24, 38906.98, 38906.98, 38457.83, 38585.19
03/04/24, 38968.77, 39087.86, 38913.30, 38989.83
03/01/24, 38989.51, 39120.36, 38850.50, 39087.38
02/29/24, 39013.75, 39074.13, 38809.28, 38996.39
02/28/24, 38938.08, 38956.46, 38741.68, 38949.02
02/27/24, 39087.90, 39087.90, 38881.90, 38972.41
02/26/24, 39144.79, 39245.89, 39025.80, 39069.23
02/23/24, 39127.97, 39282.28, 39094.36, 39131.53
02/22/24, 38845.19, 39149.61, 38802.07, 39069.11
02/21/24, 38483.66, 38618.03, 38338.58, 38612.24
02/20/24, 38576.26, 38663.09, 38460.20, 38563.80
02/16/24, 38751.71, 38825.03, 38583.24, 38627.99
02/15/24, 38397.94, 38781.89, 38397.94, 38773.12
02/14/24, 38372.67, 38442.56, 38194.62, 38424.27
02/13/24, 38699.17, 38699.17, 38039.86, 38272.75
02/12/24, 38656.76, 38927.08, 38628.92, 38797.38
02/09/24, 38731.97, 38734.28, 38567.90, 38671.69
02/08/24, 38702.11, 38755.68, 38544.36, 38726.33
02/07/24, 38613.89, 38748.11, 38571.01, 38677.36
02/06/24, 38392.90, 38545.28, 38350.46, 38521.36
02/05/24, 38546.77, 38633.88, 38220.40, 38380.12
02/02/24, 38448.10, 38783.62, 38336.57, 38654.42
02/01/24, 38175.34, 38522.50, 38106.84, 38519.84
01/31/24, 38426.78, 38588.86, 38139.66, 38150.30
01/30/24, 38298.23, 38497.39, 38257.80, 38467.31
01/29/24, 38115.83, 38343.93, 38061.17, 38333.45
01/26/24, 38006.68, 38215.31, 37997.77, 38109.43
01/25/24, 37862.57, 38057.53, 37796.47, 38049.13
01/24/24, 37975.37, 38064.22, 37795.71, 37806.39
01/23/24, 37959.79, 37980.73, 37804.99, 37905.45
01/22/24, 37919.55, 38109.20, 37911.61, 38001.81
01/19/24, 37572.50, 37933.73, 37451.71, 37863.80
01/18/24, 37300.81, 37522.29, 37122.95, 37468.61
01/17/24, 37281.86, 37371.66, 37132.89, 37266.67
01/16/24, 37493.54, 37543.18, 37201.39, 37361.12
01/12/24, 37818.05, 37825.27, 37470.19, 37592.98
01/11/24, 37747.14, 37801.90, 37424.28, 37711.02
01/10/24, 37552.91, 37740.77, 37524.40, 37695.73
01/09/24, 37523.55, 37552.38, 37373.30, 37525.16
01/08/24, 37327.37, 37692.92, 37249.24, 37683.01
01/05/24, 37455.46, 37623.62, 37323.82, 37466.11
01/04/24, 37425.28, 37716.41, 37425.28, 37440.34
01/03/24, 37629.23, 37629.23, 37401.85, 37430.19
01/02/24, 37566.22, 37790.08, 37495.91, 37715.04
12/29/23, 37701.63, 37759.43, 37538.80, 37689.54
12/28/23, 37661.52, 37778.85, 37650.98, 37710.10
12/27/23, 37518.62, 37683.70, 37488.60, 37656.52
12/26/23, 37405.90, 37617.99, 37371.83, 37545.33
12/22/23, 37349.27, 37534.52, 37268.88, 37385.97
12/21/23, 37225.32, 37418.76, 37127.05, 37404.35
12/20/23, 37520.13, 37641.30, 37073.04, 37082.00
12/19/23, 37311.82, 37562.83, 37311.82, 37557.92
12/18/23, 37330.14, 37393.45, 37284.85, 37306.02
12/15/23, 37194.50, 37347.60, 37092.02, 37305.16
12/14/23, 37115.63, 37287.50, 37051.52, 37248.35
12/13/23, 36601.80, 37094.85, 36523.59, 37090.24
12/12/23, 36442.10, 36596.11, 36373.22, 36577.94
12/11/23, 36254.33, 36416.18, 36231.19, 36404.93
